,Unnamed: 0,storeNumber,latitude,longitude,postalCode
244,2500,74436-65099,33.495794,-111.979242,850185440
245,2501,47841-256009,33.458501,-112.082432,850072308
246,2502,70064-138184,33.453639,-112.072139,850044458
247,2503,76362-97182,33.478883,-111.984309,850187614
248,2504,10930-103560,33.48045,-112.11168,850155941
249,2505,53812-285897,33.56739,-112.071041,850202824
250,2506,75382-102494,33.449508,-112.070994,850042231
251,2507,50047-260706,33.449417,-112.072688,85004
252,2508,59802-286669,33.447284,-112.072185,85004
253,2509,5469-237912,33.553423,-112.109809,850214935
254,2510,70008-125884,33.534241,-111.964284,852534118
255,2511,7971-95229,33.524409,-112.131039,850171956
256,2512,23629-231644,33.488627,-111.961356,850186128
257,2513,61992-295825,33.58265,-112.012793,85028
258,2514,55888-289677,33.435705,-112.008725,85034
259,2515,17114-172186,33.434929,-111.997675,850344403
260,2516,16835-172189,33.436497,-111.994085,850344403
261,2517,16797-172187,33.434696,-111.997187,850344403
262,2518,21889-203904,33.582251,-111.981168,850283040
263,2519,3991-148365,33.581034,-111.978969,850284215
264,2520,48084-261324,33.503892,-111.929287,852511227
265,2521,6682-222364,33.581586,-112.127454,850295207
266,3549,6606-68120,33.62137,-111.873752,852602217
267,3550,74197-27668,33.619587,-111.875296,852602390
268,3551,76196-92460,33.626689,-111.888842,852602845
269,3552,5327-161884,33.630095,-111.888552,852603000
270,3553,6893-84201,33.623671,-111.892011,852602642
271,3554,24884-230664,33.638933,-111.864423,85260
272,3555,5664-4897,33.580713,-111.88185,852606733
273,3556,72598-106057,33.580901,-111.889691,852584406
274,3557,57281-290712,33.58225,-111.894757,85260
275,3558,5865-29155,33.623991,-111.926401,852548150
276,3559,15050-183947,33.609646,-111.926299,852544037
277,3560,47807-259846,33.588977,-111.834037,85259
278,3561,2940-238225,33.652176,-111.924465,852559692
279,3562,17375-173857,33.570371,-111.889093,852585404
280,3563,54779-286590,33.574479,-111.905328,852581804
281,3564,55673-289511,33.586936,-111.925529,852545272
282,3565,74228-26811,33.675674,-111.888181,852559193
283,3566,17374-173856,33.670947,-111.90431,852553874
284,3567,74862-97178,33.584271,-111.924447,85254
285,3568,74230-45839,33.624223,-111.941645,852542065
286,3569,14126-105015,33.672352,-111.905729,852553885
287,3570,62567-296690,33.65622,-111.930058,85054
288,3571,21986-106021,33.624801,-111.944605,852541910
289,3572,10800-101121,33.582406,-111.928009,852545250
290,3573,53806-284806,33.554141,-111.880391,85258
291,3574,6942-89800,33.698924,-111.888847,852553659
292,3575,22718-223831,33.544268,-111.905275,852583720
293,3576,20337-204608,33.540407,-111.887157,85250
294,3577,9589-95710,33.538118,-111.886317,852508521
295,3578,51237-276435,33.626028,-111.978777,85032
296,3579,62522-130404,33.537518,-111.90627,852507969
297,3580,5547-194384,33.639302,-111.978249,850322488
298,3581,27594-247149,33.603129,-111.978917,850327729
299,3582,5421-189464,33.70191,-111.924842,852553593
300,3583,5437-1373,33.539288,-111.92507,852533658
301,3584,76610-100267,33.600249,-111.989356,850327671
302,3585,75507-34919,33.683991,-111.966276,85054
303,3586,23711-232707,33.674426,-111.974674,85050
304,3587,73728-106041,33.611029,-111.994307,850325836
305,3588,2836-89363,33.626687,-111.99575,850324706
306,3589,5439-292948,33.612256,-111.995452,85032
307,3590,73505-53439,33.678651,-111.974954,850504206
308,3591,9449-95835,33.676238,-111.978229,850504260
309,3592,5496-1419,33.526271,-111.924643,852505434
310,3593,74451-90566,33.510443,-111.910419,852507244
311,3594,8656-93357,33.640233,-112.011032,850322724
